category,model,model_name,manufacturer,weight,price
Batteries,"  Lithium 2170 21700 Battery Cell
5000mAh 14.4A  INR2170 M50 L T -
By The Case
We are pleased to offer the much
sought after Lith ...
"," : INR2170M50L T
"," : EV West
",: 0.00,: 0.00
Batteries,"  Lithium Ion Battery - 60.8V , 2.6kWh
These battery modules have
excellent stability bas ...
"," : BAT-2.6-
16S
"," :
",: 38.00,: 38.00
Batteries,"  Lithium Super Cells 1.6 kWh - JH3
63Ah 7S High Power Battery
Module - For T esla Systems
These are brand new, unused
lithium JH3 64Ah batte ...
"," : BAT-1.7-7S
"," : EV West
",: 20.00,: 20.00
Batteries,"  Lithium Super Cells 3.2 kWh - JP3
128Ah 2P7S High Power Battery
Module - For T esla Systems
These are brand new, unused
lithium JP3 64Ah batte ...
"," : BAT-3.4-
7S2P
"," :
",: 40.00,: 40.00
Batteries,"  Samsung INR 18650 25R Lithium
Battery Cells - By The Case
The Samsung INR-25R is a
popular lithium-ion cell. ...
"," : INR25R
"," : Samsung
",: 0.00,: 0.00
Batteries,"  Samsung SDI 60Ah Lithium Ion
Battery Cell
This is a fantastic NMC prismatic
cell from Samsun ...
"," : SM-SDI-60
"," : Samsung
",: 5.00,: 5.00
Batteries,"  Samsung SDI ESS Energy Storage
Battery 16S 60 V olt - New 3.5 kWh
Rack Mount
This Samsung SDI ESS 3.5
backup battery is a brand ...
"," : ESS-3.5
"," : Samsung
",: 110.00,: 110.00
Batteries,"  Samsung SDI ESS Energy Storage
Battery 22S 80 V olt - New 7.6kWh
This Samsung SDI ESS 7.6
backup battery is a brand ...
"," : ESS-7.6
"," : Samsung
",: 140.00,: 140.00
Batteries,  Tesla ," S Lithium Ion Battery
18650 EV Module - 22.8 V olt, 5.3
kWh
These used 18650 Tesla battery
modules from a 85kW ...
"," : Tesla
",: 55.00,: 55.00
Batteries,"  $799.00$990.00Tesla Smart Lithium Ion Battery
18650 EV Module - 57 V olt, 3kWh
limited quantity available. Please
email sales@evw ...
"," : 18650-3
"," : Tesla
",: 42.00,: 42.00
