category,model,model_description,model_name,manufacturer,weight,price
Hose_Fittings," Cable Grip
","  1/2 NPT Cable Grip Gland Nut
These 1/2"" NPT accommodates
0.197 - 0.394"" (5 - 10 ...
",1/2 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$4.38
Hose_Fittings," Fitting
","  1/4 Inch MP  Elbow to Male AN -6
Fitting
1/4 inch Male Pipe Elbow to Male
AN -6, fittings a ...
",1/4 Inch MP  Elbow to Male AN -6," : EV West
",: 0.10,$6.84
Hose_Fittings," Fitting
","  1/4 Inch MP  to Male AN -6 Fitting
1/4 inch Male Pipe to Male AN -6,
fittings are mad ...
",1/4 Inch MP  to Male AN -6 Fitting," : EV West
",: 0.10,$2.89
Hose_Fittings," Cable Grip
","  1/4 NPT Cable Grip Gland Nut
These 1/4"" NPT accommodates
wire diameter of appro ...
",1/4 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$3.38
Hose_Fittings," Fitting
","  1/8 Inch MP  Elbow to Male AN -6
Fitting
1/8 Inch Male Pipe Elbow to Male
AN -6, fittings a ...
",1/8 Inch MP  Elbow to Male AN -6," : EV West
",: 0.10,$6.84
Hose_Fittings," Fitting
","  1/8 Inch MP  to Male AN -6 Fitting
1/8 inch Male Pipe to Male AN -6,
fittings are mad ...
",1/8 Inch MP  to Male AN -6 Fitting," : EV West
",: 0.10,$2.89HOSE & FITTINGS
Hose_Fittings," Cable Grip
","  3/4 NPT Cable Grip Gland Nut
These waterproofing black nylon
cable grip gland n ...
",3/4 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$4.88
Hose_Fittings," Cable Grip
","  3/8 NPT Cable Grip Gland Nut
These 3/8"" NPT accommodates
0.197 - 0.394"" (5 - 10 ...
",3/8 NPT Cable Grip Gland Nut," : EV West
",: 0.10,$3.88
Hose_Fittings," Fitting
","  AN -6 Swivel Hose End
Field Changeable AN -6 hose end
swivel, fittings a ...
",AN -6 Swivel Hose End," : EV West
",: 0.10,$5.60
Hose_Fittings," Hose
","  Cloth Braided Rubber Hose AN -6
This hose is designed for use with
gas, oil, diese ...
",Cloth Braided Rubber Hose AN -6," : EV West
",: 0.10,$6.90
