category,model,model_name,manufacturer,weight,price
Motor_Adapters,"  Chevy Small Block Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Colorado/Canyon Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Dodge Neon Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Echo/Scion Motor Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  EV W est BMW E10 2002 Billet
Aluminum T ransmission Adapter
This beautiful adapter will fit most
9 inch motors ...
"," : EVW -TA-
E10
"," : EV West
",: 25.00,: 25.00
Motor_Adapters,"  Ford Duratec Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Ford Ranger 2.3L  Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Ford Ranger 3L  Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Ford Small Block Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  GEO Adapters
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Honda Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Mazda B2300 Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Mazda B3000 Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Mazda Miata
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Mazda RX7/RX8 Motor Adapter and
Coupler
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Nissan Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  S10 Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Saturn Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Suzuki Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Toyota 1ZZ & 2ZZ Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Toyota 22R adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  Toyota S Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
Motor_Adapters,"  VW Porsche Air Cooled Billet
Aluminum T ransmission Dual
Motor Adapter
This all billet adapter will fit
HPEVS AC-34, AC-3 ...
"," : VW Dual
Adpt
"," : EV West
",: 225.00,: 225.00
Motor_Adapters,"  VW Rabbit Adapter
All adapters retain use of original
clutch and fit ...
"," :
"," : Canadian EV
",: 9.00,: 9.00
